purple air sensors matched to index in HRRR-Smoke grid. Each column is a grid index + distance from that point to PA sensor.0,1,2,3
"(56705, 1514.9209388032168)","(56706, 2160.465417351525)","(57044, 2254.8374022818325)","(57045, 2729.650846739503)"
"(24941, 1413.3558555134089)","(24942, 1696.608551598311)","(25280, 2930.055254702779)",
"(25951, 1277.632244754621)","(25952, 1809.1373228759637)","(26290, 2919.0595418484495)",
"(61846, 2102.77548746422)","(61847, 1398.701398075731)","(62185, 2862.8484036354102)","(62186, 2391.3366219294735)"
"(24943, 2646.1805312079455)","(25281, 2007.5474507757133)","(25282, 1230.1964004734537)",
"(28671, 1808.7909981250748)","(28672, 1301.119336477944)","(29011, 2887.57524345345)",
"(77371, 1550.9850241602876)","(77710, 1474.297575707027)",,
"(28675, 2008.1783820982787)","(28676, 1123.2116037520134)","(29015, 2785.0295029877857)",
"(24941, 1418.5949214900036)","(24942, 1691.0987730002785)","(25280, 2932.987948760602)",
"(29023, 1785.753946343787)","(29024, 1235.984080555238)",,
"(74993, 2882.970489441464)","(75332, 1124.4288814625502)","(75333, 1958.6915841444822)",
"(15146, 2516.0557499107026)","(15147, 1041.2102427901825)","(15486, 2254.907850304378)",
"(27340, 1274.6888539118322)","(27341, 2089.2901771208317)","(27679, 2503.9703786875216)",
"(28336, 2238.8933334974067)","(28337, 2555.228104637127)","(28675, 1692.2441903385213)","(28676, 2093.1066984561257)"
"(24941, 1416.6847296634805)","(24942, 1691.9385585124867)","(25280, 2934.2326204771034)",
"(85148, 2871.5482101620287)","(85486, 2458.9619894542693)","(85487, 584.7862526684305)",
"(27314, 1401.86016634264)","(27315, 1900.7227691085734)","(27653, 2626.710850911204)","(27654, 2923.951542885552)"
"(29023, 1795.048160860743)","(29024, 1227.6260239069707)",,
"(33023, 2719.724193824936)","(33024, 593.7001918931697)","(33363, 2519.6216230353216)",
"(29023, 1791.466487681713)","(29024, 1229.5147751105947)",,
"(27997, 2895.046360869)","(27998, 1303.5319973008761)","(28337, 1795.700351758836)",
"(24941, 1419.875458663705)","(24942, 1702.409349361753)","(25280, 2909.28858097271)",
"(27643, 2465.3449860410756)","(27644, 2910.038502582796)","(27982, 1359.0007738311954)","(27983, 2058.8067871051103)"
"(44917, 2160.4692980065015)","(45256, 948.5593367898854)","(45257, 2770.2374641841757)",
"(71972, 2975.551295781531)","(72311, 1304.7055246114126)","(72312, 1765.6050253883516)",
"(24623, 1595.1643077106996)","(24962, 1427.6583552009974)",,
"(27982, 2782.1691426889897)","(27983, 992.0698449073134)","(28322, 2110.2530204795353)",
"(20525, 574.392131481351)","(20526, 2792.442075673064)","(20864, 2490.9886450789327)",
"(29023, 1792.6614199563885)","(29024, 1228.1244494084876)",,
"(27985, 1729.7561985848674)","(28324, 1271.5380149206903)",,
"(27998, 2576.6610100639004)","(27999, 2510.9704640570785)","(28337, 1823.8414292373586)","(28338, 1728.9542604400322)"
"(27997, 2983.1998370763304)","(27998, 2200.2575839181036)","(28336, 2379.6582282161908)","(28337, 1266.6387175446948)"
"(87919, 2737.145429949874)","(87920, 273.4722048033662)","(88259, 2989.239840914245)",
"(27676, 2302.7623006054537)","(27677, 839.1303950041349)","(28016, 2709.903299114637)",
"(27998, 465.36584678504784)","(27999, 2659.984859639658)","(28337, 2729.6866723268877)",
"(75331, 1704.6276536894525)","(75332, 1328.4057594440153)",,
"(77364, 2854.13780940037)","(77702, 1778.6175783482147)","(77703, 1363.770897834018)",
"(23921, 105.34465314490328)","(24260, 2887.594056603438)",,
"(27644, 2647.7027600804768)","(27983, 486.4332963451021)","(27984, 2710.6814663217806)",
"(13786, 1466.0421661736336)","(13787, 1545.2855105532528)",,
"(73631, 2576.4352599292347)","(73632, 2872.9664527314158)","(73970, 1439.6832609052951)","(73971, 1917.6490789605136)"
"(92943, 1340.7876933337784)","(93282, 1661.5600368236624)",,
"(28337, 1148.0875534600116)","(28338, 2146.149593348683)","(28676, 2548.4786902542314)",
"(118687, 2613.1157979777768)","(118688, 1381.0775923620288)","(119026, 2933.668365149471)","(119027, 1917.3721411210822)"
